MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
717,2018-2019,Houston Rockets,Denver Nuggets,2019-01-08,125,113,-108,0.9260053159564433,-118,0.9267258305191235,-116,0.9265915807971882,-120,0.9268556422337221,-109,0.9260832625318607,-109,0.9260832625318607,-108,0.9260053159564433,-111,0.9262349799732976,-118,0.9267258305191235
718,2018-2019,Milwaukee Bucks,Utah Jazz,2019-01-08,114,102,-208,0.9301077672941913,-222,0.9303885000628641,-222,0.9303885000628641,-238,0.9306690650295233,-208,0.9301077672941913,-213,0.9302122456109703,-208,0.9301077672941913,-222,0.9303885000628641,-227,0.9304804066240366
719,2018-2019,New Orleans Pelicans,Memphis Grizzlies,2019-01-08,114,95,-189,0.9296606000983767,-200,0.9299297903008322,-200,0.9299297903008322,-208,0.9301077672941913,-200,0.9299297903008322,-196,0.9298353811850656,-189,0.9296606000983767,-192,0.9297370587380758,-200,0.9299297903008322
720,2018-2019,Boston Celtics,Brooklyn Nets,2019-01-07,116,95,-625,0.9330865008509747,-769,0.9333656997208398,-625,0.9330865008509747,-588,0.9329927169446075,-625,0.9330865008509747,-588,0.9329927169446075,-588,0.9329927169446075,-625,0.9330865008509747,-667,0.9331803682354916
721,2018-2019,Detroit Pistons,San Antonio Spurs,2019-01-07,107,119,125,0.9421163702140487,112,0.9429990738401953,125,0.9421163702140487,120,0.9424330479855493,120,0.9424330479855493,125,0.9421163702140487,124,0.942177646075526,112,0.9429990738401953,129,0.9418808411214952
722,2018-2019,Phoenix Suns,Charlotte Hornets,2019-01-07,113,119,-118,0.9267258305191235,-127,0.9272780373831776,-125,0.9271621421154131,-115,0.926522719948437,-120,0.9268556422337221,-120,0.9268556422337221,-119,0.926791277258567,-119,0.926791277258567,-125,0.9271621421154131
723,2018-2019,Toronto Raptors,Indiana Pacers,2019-01-06,121,105,-116,0.9265915807971882,-127,0.9272780373831776,-120,0.9268556422337221,-125,0.9271621421154131,-118,0.9267258305191235,-116,0.9265915807971882,-116,0.9265915807971882,-119,0.926791277258567,-125,0.9271621421154131
724,2018-2019,Oklahoma City Thunder,Washington Wizards,2019-01-06,98,116,-556,0.9329015587509858,-625,0.9330865008509747,-526,0.9328060437319334,-588,0.9329927169446075,-588,0.9329927169446075,-556,0.9329015587509858,-526,0.9328060437319334,-556,0.9329015587509858,-588,0.9329927169446075
725,2018-2019,Atlanta Hawks,Miami Heat,2019-01-06,106,82,236,0.9385563730363888,213,0.9389878328337152,229,0.9386784718806361,229,0.9386784718806361,212,0.9390087256942906,238,0.9385228124137386,235,0.9385733684799105,215,0.9389466328937024,229,0.9386784718806361
726,2018-2019,Chicago Bulls,Brooklyn Nets,2019-01-06,100,117,114,0.9428500537589942,106,0.9434801958166444,110,0.9431535625482292,114,0.9428500537589942,108,0.9433138265350686,112,0.9429990738401953,112,0.9429990738401953,114,0.9428500537589942,114,0.9428500537589942
727,2018-2019,Los Angeles Clippers,Orlando Magic,2019-01-06,106,96,-303,0.9315051647811118,-294,0.931411373356566,-270,0.9311308066351691,-278,0.9312296921582421,-278,0.9312296921582421,-278,0.9312296921582421,-263,0.9310393656188048,-270,0.9311308066351691,-278,0.9312296921582421
