gameid,ref,att
202101230UTA,"['Tony Brown', 'Eric Dalen', 'Leon Wood']",1932
202101240BOS,"['Mark Ayotte', 'Leroy Richardson', 'Scott Wall']",0
202101240IND,"['Matt Boland', 'Sean Corbin', 'Robert Hussey']",0
202101240LAC,"['John Butler', 'James Capers Jr.', 'Justin Van Duyne']",0
202101240MIL,"['Ray Acosta', 'Brett Nansel', 'Ben Taylor']",0
202101240ORL,"['Courtney Kirkland', 'Jenna Schroeder', 'Michael Smith']",3507
202101240POR,"['Tony Brothers', 'Jason Goldenberg', 'Gediminas Petraitis']",0
202101240SAS,"['Dannica Mosher', 'Derek Richardson', 'Josh Tiven']",0
202101250BRK,"['Nate Green', 'David Guthrie', 'Marat Kogut']",0
202101250CHI,"['Brent Barnaky', 'Curtis Blair', 'Brett Nansel']",0
202101250CLE,"['Tyler Ford', 'Tre Maddox', 'Matt Myers']",0
202101250DAL,"['Aaron Smith', 'Haywoode Workman', 'Zach Zarba']",0
202101250DET,"['J.B. DeRosa', 'Rodney Mott', 'Andy Nagy']",0
202101250GSW,"['Scott Foster', 'Scott Twardoski', 'Leon Wood']",0
202101250IND,"['Kane Fitzgerald', 'Dedric Taylor', 'C.J. Washington']",0
202101250ORL,"['Natalie Sago', 'Jenna Schroeder', 'Sean Wright']",3167
202101250POR,"['Ed Malloy', 'Gediminas Petraitis', 'Brandon Schwab']",0
202101260ATL,"['Sean Corbin', 'John Goble', 'Scott Wall']",1180
202101260HOU,"['James Capers Jr.', 'Robert Hussey', 'Michael Smith']",2996
202101260UTA,"['Marc Davis', 'Brian Forte', 'Derek Richardson']",1932
202101270ATL,"['John Conley', 'John Goble', 'Marat Kogut']",1008
202101270CHO,"['Mark Ayotte', 'J.B. DeRosa', 'Brett Nansel']",0
202101270CLE,"['Matt Boland', 'James Williams', 'Haywoode Workman']",1944
202101270GSW,"['Scott Foster', 'Scott Twardoski', 'Justin Van Duyne']",0
202101270MIA,"['Jenna Schroeder', 'Dedric Taylor', 'Zach Zarba']",0
202101270NOP,"['Brandon Adair', 'Curtis Blair', 'C.J. Washington']",750
202101270ORL,"['Mousa Dagher', 'Kane Fitzgerald', 'Natalie Sago']",3216
202101270PHI,"['Ray Acosta', 'Mitchell Ervin', 'David Guthrie']",0
202101270PHO,"['Ed Malloy', 'Brandon Schwab', 'Leon Wood']",0
202101270SAS,"['Nate Green', 'Kevin Scott', 'Aaron Smith']",0
202101270TOR,"['Karl Lane', 'Rodney Mott', 'Evan Scott']",0
202101270UTA,"['Marc Davis', 'Gediminas Petraitis', 'Phenizee Ransom']",0
202101280DET,"['Eric Dalen', 'Brian Forte', 'Robert Hussey']",0
202101280HOU,"['James Capers Jr.', 'Sean Corbin', 'Scott Wall']",3154
202101280MIA,"['Brent Barnaky', 'Jenna Schroeder', 'Zach Zarba']",0
202101280PHO,"['Kevin Cutler', 'Ed Malloy', 'Derek Richardson']",0
202101290CHO,"['David Guthrie', 'Karl Lane', 'Haywoode Workman']",0
202101290MIN,"['Brandon Adair', 'Curtis Blair', 'Suyash Mehta']",0
202101290NOP,"['Marc Davis', 'Nate Green', 'Michael Smith']",1440
202101290NYK,"['Ray Acosta', 'Bill Kennedy', 'Evan Scott']",0
