,gameid,ref,att
1269,201804260MIL,"['Tony Brothers', 'Tony Brown', 'Mike Callahan']",18717
1270,201804270IND,"['Marc Davis', 'Courtney Kirkland', 'Jason Phillips']",17923
1271,201804270UTA,"['Scott Foster', 'Ron Garretson', 'Eric Lewis']",18306
1272,201804270WAS,"['Bennie Adams', 'James Capers Jr.', 'Sean Corbin']",20356
1273,201804280BOS,"['Tony Brown', 'John Goble', 'Derrick Stafford']",18624
1274,201804280GSW,"['Bill Kennedy', 'Ken Mauer', 'Rodney Mott']",19596
1275,201804290CLE,"['Tony Brothers', 'Brian Forte', 'Scott Foster']",20562
1276,201804290HOU,"['James Capers Jr.', 'Courtney Kirkland', 'Tom Washington']",18055
1277,201804300BOS,"['Derrick Collins', 'Marc Davis', 'Bill Spooner']",18624
1278,201805010GSW,"['Mike Callahan', 'Jason Phillips', 'Sean Wright']",19596
1279,201805010TOR,"['Pat Fraher', 'Derrick Stafford', 'Tom Washington']",19954
1280,201805020HOU,"['Tony Brothers', 'Scott Foster', 'Rodney Mott']",18055
1281,201805030BOS,"['Tony Brown', 'Mike Callahan', 'Jason Phillips']",18624
1282,201805030TOR,"['Kane Fitzgerald', 'Brian Forte', 'Ken Mauer']",20127
1283,201805040NOP,"['Mark Ayotte', 'Sean Corbin', 'Scott Foster']",18551
1284,201805040UTA,"['Marc Davis', 'Ron Garretson', 'Bill Spooner']",18306
1285,201805050CLE,"['Mike Callahan', 'Derrick Collins', 'Courtney Kirkland']",20562
1286,201805050PHI,"['Brian Forte', 'Pat Fraher', 'Derrick Stafford']",20758
1287,201805060NOP,"['Bennie Adams', 'James Capers Jr.', 'Tom Washington']",18513
1288,201805060UTA,"['Mark Ayotte', 'Bill Kennedy', 'Ken Mauer']",18306
1289,201805070CLE,"['Tony Brown', 'Marc Davis', 'David Guthrie']",20562
1290,201805070PHI,"['Tony Brothers', 'Sean Corbin', 'Scott Foster']",20936
1291,201805080GSW,"['Ed Malloy', 'Derrick Stafford', 'Josh Tiven']",19596
1292,201805080HOU,"['Mark Ayotte', 'Mike Callahan', 'Eric Lewis']",18055
1293,201805090BOS,"['James Capers Jr.', 'Tom Washington', 'Zach Zarba']",18624
1294,201805130BOS,"['Marc Davis', 'Pat Fraher', 'John Goble']",18624
1295,201805140HOU,"['Tony Brothers', 'Scott Foster', 'Bill Spooner']",18055
1296,201805150BOS,"['Mike Callahan', 'Sean Corbin', 'Derrick Stafford']",18624
1297,201805160HOU,"['Pat Fraher', 'Ed Malloy', 'Ken Mauer']",18119
1298,201805190CLE,"['James Capers Jr.', 'Josh Tiven', 'Zach Zarba']",20562
1299,201805200GSW,"['Sean Corbin', 'Marc Davis', 'Jason Phillips']",19596
1300,201805210CLE,"['Scott Foster', 'David Guthrie', 'Bill Kennedy']",20562
1301,201805220GSW,"['Mike Callahan', 'Kane Fitzgerald', 'Derrick Stafford']",19596
1302,201805230BOS,"['Ed Malloy', 'Ken Mauer', 'Jason Phillips']",18624
1303,201805240HOU,"['James Capers Jr.', 'Bill Spooner', 'Zach Zarba']",18208
1304,201805250CLE,"['Mike Callahan', 'Derrick Stafford', 'Tom Washington']",20562
1305,201805260GSW,"['David Guthrie', 'Ed Malloy', 'Ken Mauer']",19596
1306,201805270BOS,"['James Capers Jr.', 'Marc Davis', 'Zach Zarba']",18624
1307,201805280HOU,"['Mike Callahan', 'Scott Foster', 'Derrick Stafford']",18055
1308,201805310GSW,"['Tony Brothers', 'Ed Malloy', 'Ken Mauer']",19596
1309,201806030GSW,"['Mike Callahan', 'David Guthrie', 'Derrick Stafford']",19596
1310,201806060CLE,"['Marc Davis', 'John Goble', 'Zach Zarba']",20562
1311,201806080CLE,"['James Capers Jr.', 'Scott Foster', 'Jason Phillips']",20562
