index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
4525;Phoenix Suns - Los Angeles Clippers;bet365;+120;-141;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4526;Phoenix Suns - Los Angeles Clippers;bwin;+125;-149;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4527;Phoenix Suns - Los Angeles Clippers;Marathonbet;+135;-147;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4528;Phoenix Suns - Los Angeles Clippers;Pinnacle;+118;-130;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4529;Phoenix Suns - Los Angeles Clippers;Unibet;+112;-137;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4530;Phoenix Suns - Los Angeles Clippers;William Hill;+125;-145;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
4553;Cleveland Cavaliers - Oklahoma City Thunder;bet-at-home;-161;+125;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4554;Cleveland Cavaliers - Oklahoma City Thunder;bet365;-161;+140;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4555;Cleveland Cavaliers - Oklahoma City Thunder;bwin;-161;+135;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4556;Cleveland Cavaliers - Oklahoma City Thunder;Marathonbet;-156;+144;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4557;Cleveland Cavaliers - Oklahoma City Thunder;Pinnacle;-161;+144;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
