,Y_prob,odds_mean,per_bet,home,firm,p_return,team_abbr
202212090NOP,0.5240233760819594,0.4822494308100224,0.008606944071405576,True,Unibet,1.02,NOP
202212090UTA,0.5908486294335469,0.5019935887863353,0.021117318271567268,True,bet365,0.9090909090909092,UTA
202212090DAL,0.5132879092438186,0.4916557928861328,0.0017961683647427728,True,Unibet,0.970873786407767,DAL
202212100MIA,0.8597056618972888,0.85422092828122,0.0,0,0,0.0,0
202212100IND,0.7482876974699278,0.7405924751883693,0.0,0,0,0.0,0
202212100WAS,0.3708683029503779,0.35600894277817935,0.0017046714097319338,True,Unibet,1.75,WAS
202212100CLE,0.6913571584074629,0.639918914644142,0.01805518521919041,True,bet365,0.5405405405405406,CLE
202212100CHI,0.6712491150581148,0.6405669269414834,0.002062101776151659,True,bet365,0.5,CHI
202212100GSW,0.3583840772906967,0.4423850362809896,0.020444156059413132,False,bet365,0.7092198581560284,BOS
202212100DEN,0.7908044621533361,0.8285213686701965,0.006406558187946864,False,bet365,4.75,UTA
202212100POR,0.6777116279088321,0.6509507618544044,0.0,0,0,0.0,0
202212110NOP,0.6235521611433128,0.5985004439807232,0.0037500146041770208,True,bet365,0.6289308176100629,NOP
202212110DET,0.37523275147548557,0.3466999510576697,0.002733434276364463,True,bet365,1.75,DET
202212110NYK,0.611551822827612,0.5603966057649554,0.011906673015216068,True,Unibet,0.7299270072992701,NYK
202212110ORL,0.33116890932194026,0.3057043178845348,0.003012702164938033,True,Unibet,2.15,ORL
202212110PHI,0.8181239501490911,0.8148166519136651,0.0,0,0,0.0,0
202212110ATL,0.5526804462909533,0.5900154266094838,0.005688994579584433,False,bet365,1.35,CHI
202212110HOU,0.1960784573832927,0.2080986036281777,0.0,0,0,0.0,0
202212120IND,0.4532848032808374,0.4091207932149218,0.009416092272215336,True,bet365,1.4,IND
202212120WAS,0.41985200399055617,0.34075890583695384,0.019466700897875142,True,Unibet,2.0,WAS
202212120MEM,0.8005745782534383,0.7735036471435862,0.0,0,0,0.0,0
202212120DAL,0.7586064102542666,0.7583114602737293,0.0,0,0,0.0,0
202212120SAS,0.2259927535618002,0.2232422723201041,0.0,0,0,0.0,0
202212120POR,0.6209534717118826,0.6051234599533698,0.0,0,0,0.0,0
202212120LAC,0.3441710261935156,0.3863783152793281,0.008029451695174822,False,bet365,0.5714285714285714,BOS
202212130PHI,0.6943108182385999,0.6167198505806127,0.023903212523422427,True,bet365,0.5714285714285714,PHI
202212130MIL,0.6471265409474108,0.5677767865641401,0.020319003798173495,True,bet365,0.6896551724137931,MIL
202212130HOU,0.34808047677298415,0.3069530611315862,0.005646391285446494,True,bet365,2.1,HOU
202212130UTA,0.4557544235884774,0.4614460615925456,0.0,0,0,0.0,0
202212130LAL,0.32767636306730663,0.3889403945401154,0.01778258750234178,False,bet365,0.591715976331361,BOS
202212140CHO,0.6634072864570096,0.6254027531387479,0.009135949382258535,True,bet365,0.5586592178770949,CHO
202212140IND,0.5137703830169118,0.4745283051299749,0.005561202013847327,True,Unibet,1.02,IND
202212140ORL,0.3728197956948605,0.42468815024563716,0.010751806307969613,False,bet365,0.6711409395973155,ATL
202212140CHI,0.624067835312812,0.5941206875367915,0.0056420487601198,True,Unibet,0.6410256410256411,CHI
202212140TOR,0.6641154991034274,0.6367817703665556,0.0,0,0,0.0,0
202212140SAS,0.3417173248533748,0.28425957811253716,0.010114931531342141,True,bet365,2.4,SAS
202212140OKC,0.33408431746170997,0.4390521588110303,0.030230772189976968,False,Unibet,0.7194244604316546,MIA
202212140DAL,0.5929140256330457,0.5609459080296091,0.006502194035648612,True,bet365,0.7407407407407407,DAL
202212140DEN,0.8264411970198855,0.8291715841342604,0.00020753304014575064,False,Unibet,4.8,WAS
202212140LAC,0.6816483896332142,0.7065390897256738,0.002309515579470264,False,bet365,2.25,MIN
202212150HOU,0.5398973507838446,0.4311484613755764,0.02748429456918653,True,bet365,1.29,HOU
202212150MEM,0.6343510689818049,0.5792004547519706,0.01891485822997706,True,Unibet,0.7194244604316546,MEM
202212150UTA,0.5477964119552452,0.48859452992882596,0.014338923586573559,True,bet365,1.0,UTA
202212150LAC,0.3191171276950604,0.3180170372861078,0.0,0,0,0.0,0
202212160CHO,0.5542460145534448,0.5601809783308729,0.0,0,0,0.0,0
202212160DET,0.30578580382802795,0.3228585104250204,0.0,0,0,0.0,0
202212160BOS,0.8406796096578489,0.8695173337788319,0.0028810683098764362,False,bet365,6.0,ORL
202212160CLE,0.6488949441874744,0.7357924383316374,0.01522951159183224,False,bet365,2.6,IND
202212160PHI,0.7866579265789139,0.770303239205203,0.0,0,0,0.0,0
202212160TOR,0.49428062411952634,0.48465503112845587,0.0,0,0,0.0,0
202212160OKC,0.6524697384399292,0.6267862000742781,0.008207653283491111,True,Unibet,0.5813953488372093,OKC
202212160CHI,0.5262994136591038,0.5678452279435039,0.007899158312041965,False,bet365,1.25,NYK
202212160DAL,0.6980779655211911,0.6159385835816777,0.02545716077749131,True,bet365,0.5714285714285714,DAL
202212160LAL,0.43607971876843116,0.46200018469698423,0.00413133407195978,False,Unibet,0.8130081300813008,DEN
