,perMetric,perMetric,perMetricElo,perMetricElo,perMetricEloN,perMetricEloN,perMetricN,perMetricN,game
homeTeam,away,home,away,home,away,home,away,home,year
game_id,,,,,,,,,
201411120PHO,0.25719299822216035,-0.3364931481849469,0.23270742864350558,-0.25313653430860317,-0.03497185210223377,0.047117246732885344,-0.03497185210223377,0.047117246732885344,2015
201411120WAS,-1.2573364647639749,0.8868202884936842,-0.8925978469667699,1.310342441509606,-0.5873418774477707,0.7134943479850554,-0.5873418774477707,0.7134943479850554,2015
201411130DAL,-1.5353714434174697,-0.09299830377459273,-1.9160392806315971,0.020751353144541795,-1.2557374964879937,0.20597025878807532,-1.2557374964879937,0.20597025878807532,2015
201411130GSW,-0.1084221248995938,0.6244525002553312,-0.11348975840012354,1.1041432018476853,0.038932225331261026,1.3683120315306587,0.038932225331261026,1.3683120315306587,2015
201411130MEM,2.0304284397039347,1.866452693627676,2.3102995333497782,2.1385472600333744,2.071138711319897,1.9999607240680621,2.071138711319897,1.9999607240680621,2015
201411130TOR,0.27845853285838906,1.5604735076084584,0.4768231847762454,1.671630175733239,0.6345960214299724,1.1309892098015915,0.6345960214299724,1.1309892098015915,2015
201411140ATL,0.21555567809139564,0.1127227847553991,0.0038528711783545333,0.8387526227018056,0.3100127735952633,0.19791695540167295,0.3100127735952633,0.19791695540167295,2015
201411140BOS,-0.8881013470726717,-0.10395318621965055,0.47774990699547404,0.8121691147981003,-0.05723264412708399,0.5037562626057479,-0.05723264412708399,0.5037562626057479,2015
201411140HOU,-1.6272666850999855,1.8408542511331945,-2.0039059336107914,1.7550043708377423,-1.5071189636425473,1.4829386021924138,-1.5071189636425473,1.4829386021924138,2015
201411140IND,-2.514589910085632,-0.5677280574710881,-2.256497727799427,-2.034047358680106,-1.2142642900440108,-2.3402545365003555,-1.2142642900440108,-2.3402545365003555,2015
201411140LAL,0.386678075067477,-0.7420402180322092,-0.33081291063232143,-1.3910086155571895,-0.6311100066085334,-1.1539469704594352,-0.6311100066085334,-1.1539469704594352,2015
201411140NOP,-0.8923712887500534,0.2785997756538343,-1.178448063706404,0.8019212486603982,-0.5490752520296704,0.2645758301711993,-0.5490752520296704,0.2645758301711993,2015
201411140NYK,-0.07929002541424879,-1.6926453071875942,0.3313633310314268,-2.958818758546255,0.4071343068687783,-1.5062232767714436,0.4071343068687783,-1.5062232767714436,2015
201411140OKC,-1.5576421470516246,0.465155372433363,-1.0503454459403487,-2.0471503140420753,-0.6837084429708691,-1.800302001666946,-0.6837084429708691,-1.800302001666946,2015
201411140ORL,0.7632397721544888,0.3309576754350836,1.7139809365896572,0.5621813013452992,0.7600598590074371,-0.2185185839622721,0.7600598590074371,-0.2185185839622721,2015
201411140PHO,-1.0139205017786859,0.029121974936807682,-1.1035382506770475,0.0930606527350255,-0.8027039540199711,-0.06127654015284786,-0.8027039540199711,-0.06127654015284786,2015
201411150CHI,-1.1409781973197397,0.8307235757928044,-2.770946484390768,1.150257527950303,-2.519669298659364,0.7554827322638872,-2.519669298659364,0.7554827322638872,2015
201411150CLE,0.4799307580718519,-0.5748460248301415,1.2932564004222158,1.0049037424184708,0.39207354677174994,0.20648518126830076,0.39207354677174994,0.20648518126830076,2015
201411150DAL,-1.128551896718656,-0.0011030620920768897,-1.5749483848066692,0.10861800612373607,-0.8008277690969342,0.1643104688729399,-0.8008277690969342,0.1643104688729399,2015
201411150GSW,-0.30753397966433127,0.8055277625673929,-0.39160931858557646,1.3549871129909405,-0.7483323851295642,1.5001040513832802,-0.7483323851295642,1.5001040513832802,2015
201411150LAC,-0.6772645471775469,-0.887422488302593,-0.6188682793564455,-0.6861826710487184,-0.17954913022984567,-0.1448387185385971,-0.17954913022984567,-0.1448387185385971,2015
