,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,neutral
202102050LAC,1641.4441377544,1577.0719458608,1625.68458147371,1573.11360570634,0
202102050MIA,1463.44760690128,1384.11590887427,1502.32354202785,1411.07723400231,0
202102050OKC,1469.99843994902,1322.70411139187,1182.47403665837,1335.26354031105,0
202102050ORL,1402.56077728133,1413.66321258943,1408.27939706475,1394.00571904336,0
202102050PHO,1547.98429703672,1388.46139950529,1559.09481231532,1393.13228294116,0
202102060ATL,1438.64394648761,1595.44489598706,1482.07835272497,1573.24524033297,0
202102060CLE,1369.24245433481,1630.26574308676,1373.82106344614,1652.99637260524,0
202102060DAL,1470.85564606239,1475.52498968719,1562.05470501325,1491.87943719926,0
202102060HOU,1578.46941419314,1501.97095617221,1444.63044550384,1505.18338150789,0
202102060LAL,1687.83126226371,1384.01404931045,1635.14270403392,1389.79292167935,0
202102060NOP,1501.10671698348,1550.16946887652,1521.83045182531,1485.57487728831,0
202102060NYK,1450.29844787723,1517.09367835678,1438.84930408823,1445.89840670641,0
202102060OKC,1458.76523747536,1333.93731386553,1300.96853023681,1338.34932316993,0
202102060ORL,1406.98660062323,1409.23738924753,1415.5851574587,1367.42815707433,0
202102060PHI,1555.42024303448,1532.90975230407,1571.62560426163,1550.29688440939,0
202102060SAC,1462.62754080407,1604.0271121297,1464.59933335495,1598.87056676907,0
202102070CHO,1443.11902012882,1374.80920658259,1399.66257712533,1397.93663153435,0
202102070IND,1528.22954944049,1642.83595296538,1508.44859074354,1629.24433761001,0
202102070LAC,1630.953056129,1470.76917449068,1587.32794523783,1466.94605622698,0
202102070NYK,1460.00285213579,1472.75430919296,1441.67713404855,1494.91750436793,0
202102070PHO,1552.43164723156,1587.5630274862,1568.58783498579,1575.45763679575,0
202102080CHI,1436.49202968856,1366.31819094633,1388.16299922023,1393.23547552876,0
202102080CHO,1451.61003576508,1566.43682974685,1409.74931040792,1402.10385480405,0
202102080DAL,1474.1432937045,1332.17519370099,1559.15898134796,1367.84975809121,0
202102080DEN,1595.88547844309,1639.89736036122,1594.73415013134,1658.89558554218,0
202102080LAL,1688.87288023095,1460.5273576399,1598.46552766344,1361.83419784632,0
202102080MEM,1542.17821284387,1582.04006701237,1457.94870481325,1567.20311050582,0
202102080PHO,1559.97734747644,1359.61083706035,1546.99778131947,1342.02695079954,0
202102080SAS,1514.0035406185,1472.23734204508,1523.36456484275,1491.20866519485,0
202102090DET,1382.97243134321,1524.44254526593,1394.28997892406,1526.26115519252,0
202102090MIA,1483.11203366491,1449.64512766384,1521.33062055884,1436.86348072004,0
202102090NOP,1509.09797301613,1546.20731491634,1533.58808158454,1440.52228270147,0
202102090POR,1507.38927409822,1379.7319601822,1480.34316226748,1359.8323829241,0
202102090SAC,1482.30884045916,1563.88745007262,1472.28072467629,1619.10549390708,0
202102090SAS,1517.87927458509,1468.36160807849,1524.1477591706,1481.96980686935,0
202102090UTA,1651.43332738604,1580.01732724132,1634.81759143765,1601.2809777898,0
202102100BRK,1511.70032645886,1519.63217501983,1536.71948129342,1504.20997443269,0
202102100CHI,1425.84680345304,1525.77237702829,1372.74244019589,1542.06637668824,0
202102100DAL,1476.4893124667,1452.0487754623,1555.29761575931,1513.10077647911,0
202102100DEN,1581.00878092201,1357.73161344808,1601.56016826614,1344.65032834546,0
202102100LAL,1690.62158557676,1458.77865229409,1641.90356621763,1320.47546804249,0
202102100MEM,1525.61024481837,1471.83955059559,1461.82371920507,1426.21060439817,0
202102100MIN,1329.82917493879,1619.41339016052,1371.90815518599,1594.40539825888,0
202102100PHO,1561.85657108871,1654.7740578823,1561.72393721262,1628.81072207434,0
202102100WAS,1376.96341718185,1598.60803503787,1394.73622334783,1596.00549343199,0
202102110BOS,1573.87442320856,1609.19596598519,1585.69275728566,1603.22155134601,0
202102110DET,1395.71465015028,1512.46957910533,1403.30459254123,1497.88935441176,0
202102110GSW,1497.20919134358,1376.23403306002,1496.92951250843,1419.55169207105,0
202102110HOU,1529.53291090418,1485.8785697251,1423.20091333276,1515.0859090747,0
202102110POR,1510.8872012204,1573.59070258918,1478.71779520419,1630.46420049609,0
202102120ATL,1449.63587496201,1489.03169132,1508.78018978094,1493.20005766246,0
202102120BOS,1583.85275672631,1382.51049670713,1553.97898079092,1411.24321856711,0
202102120CHI,1438.09623181365,1623.08579081609,1380.49115321259,1600.03658445294,0
202102120CHO,1464.52602723745,1326.15677428322,1429.64827586017,1420.94852135696,0
202102120DAL,1478.90221296699,1513.52294866768,1553.33826706124,1534.51820308857,0
202102120DEN,1586.57201586614,1457.95489879204,1610.35172146451,1350.63301538434,0
202102120LAL,1691.44533907881,1532.92376817651,1642.21975637557,1466.9082848828,0
202102120POR,1516.3716179551,1352.16837850395,1485.29099057291,1331.68053167954,0
202102120SAC,1472.6055879426,1373.35709093114,1483.29562806886,1423.19235558877,0
202102120UTA,1657.5762314188,1650.83683875609,1647.63566857701,1628.32041575389,0
202102120WAS,1366.37548623453,1446.87859160365,1358.14418694845,1429.89480521181,0
202102130ATL,1436.0650535128,1525.67373254848,1486.2567334647,1508.55620329439,0
