gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201912040POR,1542.953736529514,1452.1712217073007,1548.0880994657186,1447.036858771096
201912040UTA,1579.0692780472602,1592.2613974148164,1555.4536995428953,1615.8769759191814
201912050NOP,1404.099538037197,1403.175040395246,1393.3015059013878,1413.973072531055
201912050NYK,1278.9618180382986,1601.7755724066,1270.1610875055273,1610.5763029393713
201912050TOR,1680.4881362774613,1633.6746722992777,1665.4041770084182,1648.7586315683209
201912050WAS,1422.3809577837753,1617.474056821742,1433.9908253838664,1605.8641892216508
201912060BOS,1642.7687490475794,1610.5763029393713,1650.3763193215755,1602.9687326653752
201912060CHI,1373.2607923464163,1433.2791208795843,1368.1220694329184,1438.4178437930823
201912060CHO,1429.170902640214,1489.7490623339133,1420.240449972703,1498.6795150014245
201912060CLE,1310.7360726797858,1519.9735143282803,1306.1287490355116,1524.5808379725545
201912060DET,1460.6821953298713,1580.6653488542074,1470.5228688358825,1570.8246753481963
201912060MIA,1582.2524751837825,1433.9908253838664,1585.6154749860325,1430.6278255816164
201912060MIL,1730.12633393851,1605.9511394809335,1738.2908106254665,1597.786662793977
201912060OKC,1517.961653580575,1475.7186909841248,1524.850559686395,1468.829784878305
201912060POR,1548.0880994657186,1615.8769759191814,1529.3648291237942,1634.600246261106
201912060SAS,1466.6036803140105,1447.036858771096,1469.2653698943575,1444.375169190749
201912070DAL,1579.3751816468416,1393.3015059013878,1587.8115226615714,1384.865164886658
201912070HOU,1648.7586315683209,1413.973072531055,1650.412984002611,1412.318720096765
201912070NYK,1270.1610875055273,1570.8246753481963,1268.6000363820178,1572.3857264717058
201912070PHI,1605.8641892216508,1306.1287490355116,1610.341381328311,1301.6515569288515
201912070UTA,1555.4536995428953,1379.3476215489525,1559.2746960314923,1375.5266250603554
201912080BRK,1498.6795150014245,1602.9687326653752,1504.854319012586,1596.7939286542137
201912080CHO,1420.240449972703,1361.8920391239278,1400.0926665798718,1382.039822516759
201912080DAL,1587.8115226615714,1444.375169190749,1576.3466532836978,1455.8400385686225
